"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"18 Oct 2025 10:02:11 pm UTC","25781749382","Shipping Services","407-1654314-4753912","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 10:39:36 pm UTC","25781445902","Order","408-7076462-4745955","EN-TELESCOPE-COVER-FBM","Encasify Telescope Cover - Waterproof, Dustproof & Sunproof Outdoor Protective Cover with Zipper and Durable Closure (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Vadodara","GUJARAT","390019","658.10","0","0","-13.16","32.24","-1.61","-1.61","0","-0.66","-107.88","0","-40.12","0","525.30"
"18 Oct 2025 10:59:34 pm UTC","25781749382","Order","403-0011301-0518748","EN-GARMENT-STEAMER-FBM","Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steam","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560035","458.10","0","0","-9.16","22.44","0","0","-2.24","-0.45","-36.16","0","-12.98","0","419.55"
"18 Oct 2025 11:01:33 pm UTC","25781749382","Shipping Services","405-8075638-7397964","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 11:09:15 pm UTC","25781749382","Shipping Services","408-4757546-0497945","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 11:15:05 pm UTC","25781749382","Shipping Services","407-1785537-2357145","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 11:24:10 pm UTC","25781749382","Shipping Services","404-1924285-8936340","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 11:46:31 pm UTC","25781749382","Shipping Services","408-3762229-5847521","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"19 Oct 2025 12:04:42 am UTC","25781749382","Shipping Services","171-2865183-1026701","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"19 Oct 2025 12:11:05 am UTC","25781445902","Order","408-9958227-7953160","EN-AIR-COOLER-55LTR-COVER","Encasify Air Cooler Cover | Compatible with Havells Celia 55 Litre Desert Cooler Cover | Polyster | Black (55 ltr)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon","JHANSI","UTTAR PRADESH","284001","574.21","38.10","0","-38.10","28.71","0","0","-2.87","-0.58","-96.04","-96.76","-30.68","0","375.99"
"19 Oct 2025 4:48:00 am UTC","25781749382","Order","404-0894764-3245155","EN-AIR-COOLER-75LTR-2-COVER","Encasify Air Cooler Cover | Symphony Sumo 75 XL Desert Cooler Cover | Polyster | Black (75 ltr)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","HYDERABAD","TELANGANA","500080","677.14","0","0","-13.54","33.18","0","0","-3.32","-0.67","-111.00","-96.76","-30.68","0","454.35"
"19 Oct 2025 4:52:57 am UTC","25781749382","Order","408-7260275-9018713","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Gurugram","HARYANA","122011","993.43","0","0","-19.87","48.68","0","0","-4.87","-0.98","-162.84","0","-76.70","0","776.85"
"19 Oct 2025 5:00:11 am UTC","25781445902","Order","405-4203334-4721901","EN-V-BLK-COVER","Encasify Wet Dry Vacuum Cover | Protects Against Sun, Rain, Snow Vacuum Cover | 22x28 inches | Polyester Material | Black","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon","ahmedabad","GUJARAT","382424","327.09","0","0","0","58.88","-0.82","-0.82","0","-0.33","-34.16","-66.08","-24.78","0","258.98"
"19 Oct 2025 5:41:00 am UTC","25781749382","Order","404-0026355-3349164","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BALI","RAJASTHAN","306701","993.43","0","0","-19.87","48.68","0","0","-4.87","-0.98","-162.84","0","-76.70","0","776.85"
"19 Oct 2025 5:42:20 am UTC","25781445902","Order","171-7124812-0805125","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","ALWAR","RAJASTHAN","301030","993.43","0","0","0","49.67","0","0","-4.97","-1.01","-166.17","0","-76.70","0","794.25"
"19 Oct 2025 5:45:15 am UTC","25781749382","Order","404-8106048-7949925","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560077","993.43","0","0","0","49.67","0","0","-4.97","-1.00","-166.17","0","-76.70","0","794.26"
