amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba 
408-2475751-8797946		2025-10-12T14:06:06+00:00	2025-10-22T10:24:46+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Table Tennis Table Cover Fits Flat & Folding Tables - All Weather Condition 2 in1 (Indoor/Outdoor) Cover - Dust & Water Resistant - Universal Size - Perfect fit for 9x5 Table Tennis Table	EN-TTT-BLK-COVER-FBM	B0DRPNTZD1	Shipped	1	INR	1196.89	56.99							AURANGABAD	MAHARASHTRA	431005	IN		false			false
407-4339874-2556320	407-4339874-2556320	2025-10-12T13:32:58+00:00	2025-10-15T07:06:17+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steam	EN-GARMT-STEAMER-COVER	B0FB447JP8	Shipped	1	INR	465.96		40.0					40.0	Bangalore	KARNATAKA	560100	IN		false			false
407-3365447-9824320	407-3365447-9824320	2025-10-12T13:08:40+00:00	2025-10-13T08:41:05+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1088.01								HYDERABAD	TELANGANA	500090	IN		true		Business Price	false
406-7157981-2669158		2025-10-12T11:40:06+00:00	2025-10-23T10:16:16+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	EN-EMC-BLK-COVER-FBM	B0DQ4S1HBD	Shipped	1	INR	1043.1	49.67							KANGRA	HIMACHAL PRADESH	176083	IN		false			false
404-9930846-9791554		2025-10-12T11:40:05+00:00	2025-10-22T08:48:12+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Telescope Cover - Waterproof, Dustproof & Sunproof Outdoor Protective Cover with Zipper and Durable Closure (Black)	EN-TELESCOPE-COVER-FBM	B0F8NZYSD6	Shipped	1	INR	691.0	32.9							GURUGRAM	HARYANA	122001	IN		false			false
407-0274908-5573122		2025-10-12T11:35:11+00:00	2025-10-23T11:28:06+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Massage Chair - Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material (Silver)	G6-Y5CH-EHL1	B0FRGFQSWW	Shipped	1	INR	999.0	47.57							Bengaluru	KARNATAKA	560064	IN		false			false
405-1737943-9757129		2025-10-12T11:31:26+00:00	2025-10-31T05:17:11+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	EN-SPARE-TYRE-32IN	B0FQBWM24C	Shipped	1	INR	498.0	75.97							AIZAWL	MIZORAM	796009	IN		false			false
406-0093062-2617137		2025-10-12T11:24:28+00:00	2025-10-22T09:40:12+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Air Cooler Cover | Bajaj DMH 90 Neo 90L Litre Cooler Cover | Polyster | Black (90 ltr)	EN-AIR-COOLER-90LTR-COVER-FBM	B0F7Y3JH8Q	Shipped	1	INR	691.0	32.9							NEW DELHI	DELHI	110077	IN		false			false
171-5945426-8669115		2025-10-12T11:15:30+00:00	2025-10-23T07:47:13+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	EN-EMC-BLK-COVER-FBM	B0DQ4S1HBD	Shipped	1	INR	1043.1	49.67							Pimpri Chinchwad	MAHARASHTRA	412105	IN		false			false
404-6880402-2554764		2025-10-12T10:26:16+00:00	2025-10-23T08:22:39+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	EN-EMC-BLK-COVER-FBM	B0DQ4S1HBD	Shipped	1	INR	1043.1	49.67							Akola	MAHARASHTRA	444001	IN		false			false
